Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
K246,17,184,746100,791843,420790,115,-8.758594308871388,1.2524272162713246,-1.1039081887375264,0.9241809900338137
K391,17,188,335750,379073,271894,191,-7.0333364991784295,1.3745936391451545,-1.460041712180441,1.0938149251325637
M143,6,203,1838016,1838016,420399,211,-15.088290821967684,2.096559032378914,-0.3171002255471332,-0.32998452213053786
R829,31,155,70200,62718,14807,113,9.468199872422971,-1.1244215337850045,-0.10494553075456568,1.6951253317338346
Q505,28,137,146797,92495,92495,269,10.031889117958835,-1.1277654062645348,1.0931492231241238,1.9243552675993665
Q069,30,184,164450,388070,367060,156,1.1264504645171363,-0.13972639470779252,-0.7968387751421961,0.9625363806870778
X425,11,160,321000,323149,318758,168,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
Q008,28,213,1952546,1952546,385197,210,-14.843813061054743,2.3900473059731326,-0.2557044590793737,0.22858129406341512
K860,18,154,52434,68933,68933,135,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
K425,22,164,572250,389765,71443,247,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
X039,8,153,286311,221462,210355,158,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
K167,17,156,253000,465501,326642,322,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
Q171,30,217,832113,832113,213187,211,-15.746009250379338,2.375817935012831,-0.34254003763255,0.0922339531281154
K188,21,149,241000,242812,238277,210,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
X027,7,175,384750,377396,338042,260,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
K845,15,154,112931,101835,94234,128,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
K183,23,151,209750,204412,151407,172,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
Q107,25,221,1706373,1706373,442367,219,-13.733464357076507,2.0496001808194277,-0.47781771986811483,0.24652239906460965
X065,7,154,221000,233602,160429,168,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
X075,8,154,172750,120855,120855,138,-1.4247707184613263,0.40758050279968244,-1.5211626857369402,2.0258557383848603
M480,2,154,159563,220247,190979,289,-5.965376274966457,0.31759327379047375,-1.1205923596682872,1.6019012175238796
K196,14,158,169952,162528,143449,193,-5.358084343920979,1.8987808659847822,-0.39743769861913736,1.2200948578875732
Q578,27,121,204817,204817,14883,105,16.800283911449956,-2.7925773783956123,-1.5782641329327944,3.303441430071238
K216,21,157,274700,398690,248222,157,-7.58357807073975,1.8154621098977728,-0.9576178255961388,1.5867176154797473
M132,6,175,595229,426281,340691,274,-12.512020050686184,1.5501667361420668,-1.4066827510205713,1.0320992754449947
K164,20,151,338750,356078,340670,272,-7.358044225350353,1.158431429493246,-1.7409224275693551,1.8509062592402639
K100,21,149,199900,201523,149774,195,-7.3852202399746085,1.2767361789691556,-1.6122826036569524,2.0386160731943743
R123,31,187,5954475,5954475,801342,195,16.800283911449956,-2.7925773783956123,-1.5782641329327944,3.303441430071238
K208,18,157,277301,399912,335189,147,-7.583578106937111,1.815462231546241,-0.9576177740480747,1.5867176339864497
M115,6,187,357872,269042,239706,242,-9.231871071979247,1.2709121347467163,-1.6743092768335774,1.7215191495681306
Q450,30,124,449880,702272,663615,78,-8.592651134787628,0.7264207037282222,-0.7093604241505118,0.5892264464021985
K153,21,186,346050,324201,264560,453,-11.715738880610562,1.5106039489791112,-1.4198880281365487,1.0407897631895144
M521,2,126,67122,67122,1233,108,8.803735003993447,-0.8497416559585732,0.8033130693653979,2.4625314233849007
X009,10,154,935980,777989,720706,153,1.7459734022215005,-2.1171007091332235,0.3879437738236046,0.42259386231271695
Q452,30,145,130800,218157,209038,380,8.334838140763491,-0.7034257929887139,-0.8655526461479648,3.045572724831673
K223,20,104,31989,97833,97314,243,14.169879155660345,-1.0002384435113845,-0.18962884776988356,1.3039033236848283
Q245,24,209,598174,329283,26451,160,-10.708438473625032,1.165733894073598,0.03045657721928766,0.3961040689720084
Q174,28,190,1321029,1321029,217411,183,-13.229785341492912,0.9024272652837314,-0.3807136297660509,-1.0362959865147343
